Ticker,close,date,high,low,month,open,volume
AXISBANK,971.8,11/1/2023 5:30,979.3,968.0,2023-11,977.85,5703984
AXISBANK,982.95,11/2/2023 5:30,988.35,974.0,2023-11,978.0,5193982
AXISBANK,988.85,11/3/2023 5:30,991.4,981.5,2023-11,986.0,4268048
AXISBANK,1009.4,11/6/2023 5:30,1016.2,993.1,2023-11,995.0,6552178
AXISBANK,1020.9,11/7/2023 5:30,1022.2,1005.25,2023-11,1008.0,6559859
AXISBANK,1021.7,11/8/2023 5:30,1026.95,1015.6,2023-11,1024.0,7643314
AXISBANK,1021.9,11/9/2023 5:30,1028.85,1016.65,2023-11,1024.75,4407935
AXISBANK,1029.2,11/10/2023 5:30,1031.0,1016.65,2023-11,1017.9,3294063
AXISBANK,1029.95,11/12/2023 5:30,1033.9,1026.25,2023-11,1033.9,461834
AXISBANK,1025.35,11/13/2023 5:30,1031.85,1023.5,2023-11,1030.05,5985481
AXISBANK,1041.35,11/15/2023 5:30,1045.0,1031.55,2023-11,1045.0,7240388
AXISBANK,1026.35,11/16/2023 5:30,1044.0,1022.15,2023-11,1042.8,6908825
AXISBANK,994.35,11/17/2023 5:30,1020.0,991.85,2023-11,1014.9,13268353
AXISBANK,988.7,11/20/2023 5:30,994.75,980.35,2023-11,981.0,8215656
AXISBANK,991.8,11/21/2023 5:30,997.5,986.65,2023-11,989.95,7061614
AXISBANK,998.1,11/22/2023 5:30,999.9,988.0,2023-11,991.0,6103988
AXISBANK,999.05,11/23/2023 5:30,1003.4,995.4,2023-11,999.0,3112891
AXISBANK,1008.5,11/24/2023 5:30,1010.75,999.7,2023-11,1002.0,6956281
AXISBANK,1021.15,11/28/2023 5:30,1021.95,1009.25,2023-11,1013.05,6173384
AXISBANK,1060.15,11/29/2023 5:30,1063.5,1021.15,2023-11,1027.15,9422396
AXISBANK,1074.25,11/30/2023 5:30,1080.9,1055.45,2023-11,1062.7,24755589
AXISBANK,1104.65,12/1/2023 5:30,1109.0,1070.2,2023-12,1075.4,14428758
AXISBANK,1125.6,12/4/2023 5:30,1129.0,1099.1,2023-12,1120.5,14043213
AXISBANK,1132.45,12/5/2023 5:30,1151.85,1127.15,2023-12,1136.8,15804808
AXISBANK,1120.5,12/6/2023 5:30,1145.7,1117.95,2023-12,1135.1,7342767
AXISBANK,1117.85,12/7/2023 5:30,1129.6,1108.5,2023-12,1119.25,6439419
AXISBANK,1131.2,12/8/2023 5:30,1134.35,1111.5,2023-12,1115.85,7300989
AXISBANK,1116.5,12/11/2023 5:30,1139.4,1113.85,2023-12,1129.0,6924589
AXISBANK,1131.0,12/12/2023 5:30,1133.9,1109.0,2023-12,1120.0,9044111
AXISBANK,1114.85,12/13/2023 5:30,1151.0,1111.45,2023-12,1150.0,8184523
AXISBANK,1120.45,12/14/2023 5:30,1138.6,1117.9,2023-12,1132.4,9421193
AXISBANK,1120.35,12/15/2023 5:30,1127.85,1108.6,2023-12,1119.2,12048410
AXISBANK,1111.35,12/18/2023 5:30,1120.0,1107.2,2023-12,1119.7,7922468
AXISBANK,1120.25,12/19/2023 5:30,1126.85,1114.2,2023-12,1123.8,6824641
AXISBANK,1110.25,12/20/2023 5:30,1123.85,1102.7,2023-12,1122.0,9848057
AXISBANK,1095.4,12/21/2023 5:30,1103.9,1077.2,2023-12,1103.9,10914682
AXISBANK,1088.3,12/22/2023 5:30,1106.3,1085.8,2023-12,1095.4,10600025
AXISBANK,1094.25,12/26/2023 5:30,1100.65,1086.7,2023-12,1091.2,5687517
AXISBANK,1106.35,12/27/2023 5:30,1110.55,1089.65,2023-12,1096.05,6132936
AXISBANK,1107.85,12/28/2023 5:30,1113.0,1098.0,2023-12,1107.25,14097667
