Ticker,close,date,high,low,month,open,volume
ADANIPORTS,1196.65,1/29/2024 5:30,1204.9,1151,2024-01,1155,6768033
ADANIPORTS,1187.35,1/30/2024 5:30,1217.2,1181,2024-01,1200,4683729
ADANIPORTS,1207.65,1/31/2024 5:30,1214.25,1191.65,2024-01,1195.8,5510242
ADANIPORTS,1218.85,2/1/2024 5:30,1239.5,1200.3,2024-02,1213.6,7433628
ADANIPORTS,1261.45,2/2/2024 5:30,1287.5,1231.7,2024-02,1233.05,10450227
ADANIPORTS,1258.55,2/5/2024 5:30,1291.25,1248.85,2024-02,1269.5,5611298
ADANIPORTS,1273.1,2/6/2024 5:30,1284.6,1248.85,2024-02,1266,4408002
ADANIPORTS,1255.65,2/7/2024 5:30,1286.35,1252.15,2024-02,1280,3359763
ADANIPORTS,1245.2,2/8/2024 5:30,1264.5,1236.75,2024-02,1264.05,3354609
ADANIPORTS,1271.5,2/9/2024 5:30,1275.5,1232.1,2024-02,1252.6,3538164
ADANIPORTS,1249.35,2/12/2024 5:30,1279.75,1243.9,2024-02,1278,2204823
ADANIPORTS,1264.8,2/13/2024 5:30,1271,1226.65,2024-02,1249.95,2245009
ADANIPORTS,1267.85,2/14/2024 5:30,1281.55,1248.65,2024-02,1261.95,3382943
ADANIPORTS,1267.05,2/15/2024 5:30,1277.55,1262.1,2024-02,1275,3382824
ADANIPORTS,1306.85,2/16/2024 5:30,1311,1265.55,2024-02,1269.8,5476230
ADANIPORTS,1307,2/19/2024 5:30,1327,1302.15,2024-02,1313.4,2700240
ADANIPORTS,1300.5,2/20/2024 5:30,1312.9,1293.7,2024-02,1311,1856718
ADANIPORTS,1291,2/21/2024 5:30,1315,1281.45,2024-02,1304.8,2770510
ADANIPORTS,1310.95,2/22/2024 5:30,1317,1281,2024-02,1296,2556009
ADANIPORTS,1320.7,2/23/2024 5:30,1332,1298,2024-02,1312.05,2924829
ADANIPORTS,1338.15,2/26/2024 5:30,1343,1316.75,2024-02,1320,2802425
ADANIPORTS,1329.45,2/27/2024 5:30,1339.2,1314.25,2024-02,1336.85,2197456
ADANIPORTS,1299.5,2/28/2024 5:30,1334.9,1295.15,2024-02,1334.5,2121625
ADANIPORTS,1320.5,2/29/2024 5:30,1329.9,1293.05,2024-02,1300,2672239
ADANIPORTS,1322.1,3/1/2024 5:30,1349,1312.4,2024-03,1335,3301090
ADANIPORTS,1338.3,3/2/2024 5:30,1346.9,1325,2024-03,1326.9,386697
ADANIPORTS,1342.6,3/4/2024 5:30,1356.55,1336.4,2024-03,1345.25,2170214
ADANIPORTS,1338.3,3/5/2024 5:30,1354.95,1334,2024-03,1344.05,1815438
ADANIPORTS,1324.8,3/6/2024 5:30,1344.6,1304,2024-03,1342.7,2758443
ADANIPORTS,1325.45,3/7/2024 5:30,1335.35,1315,2024-03,1329.8,1640786
ADANIPORTS,1326.95,3/11/2024 5:30,1342.35,1322.05,2024-03,1331,2217673
ADANIPORTS,1301.3,3/12/2024 5:30,1346.95,1293.45,2024-03,1335,3139768
ADANIPORTS,1209.55,3/13/2024 5:30,1308,1188.1,2024-03,1307,8670336
ADANIPORTS,1267.85,3/14/2024 5:30,1276,1195.7,2024-03,1210,7195603
ADANIPORTS,1283,3/15/2024 5:30,1288.85,1256.65,2024-03,1273.8,4024586
ADANIPORTS,1266.6,3/18/2024 5:30,1270.05,1227.25,2024-03,1250,4858444
ADANIPORTS,1241.2,3/19/2024 5:30,1272.85,1237.25,2024-03,1271.05,2311324
ADANIPORTS,1245.4,3/20/2024 5:30,1252.95,1230.2,2024-03,1248,2772098
ADANIPORTS,1262.45,3/21/2024 5:30,1268.7,1251.3,2024-03,1260,3155563
ADANIPORTS,1281.6,3/22/2024 5:30,1289.1,1255.05,2024-03,1262.45,3076926
ADANIPORTS,1304.2,3/26/2024 5:30,1314,1281,2024-03,1281.6,3610644
ADANIPORTS,1322.8,3/27/2024 5:30,1343,1312.1,2024-03,1315,4938400
ADANIPORTS,1341.85,3/28/2024 5:30,1358.7,1314,2024-03,1334,4188741
ADANIPORTS,1375.9,4/1/2024 5:30,1381.75,1350.25,2024-04,1356.8,3251462
ADANIPORTS,1404.15,4/2/2024 5:30,1424.95,1388.2,2024-04,1397.8,5769001
ADANIPORTS,1397.2,4/3/2024 5:30,1402,1389.2,2024-04,1399.85,2727582
ADANIPORTS,1366.85,4/4/2024 5:30,1408.6,1362.25,2024-04,1408.6,4197697
ADANIPORTS,1375.55,4/5/2024 5:30,1381.9,1357.35,2024-04,1367,1853120
ADANIPORTS,1348.65,4/8/2024 5:30,1381.95,1337,2024-04,1381.95,14038860
ADANIPORTS,1356.5,4/9/2024 5:30,1364.9,1346.1,2024-04,1356.15,1935801
ADANIPORTS,1352.3,4/10/2024 5:30,1359.9,1348.2,2024-04,1359,3984001
ADANIPORTS,1344.2,4/12/2024 5:30,1358.4,1341,2024-04,1350,2183230
ADANIPORTS,1315.55,4/15/2024 5:30,1335,1308.6,2024-04,1320,3372368
ADANIPORTS,1304.35,4/16/2024 5:30,1322,1294.4,2024-04,1302,2696593
ADANIPORTS,1295.55,4/18/2024 5:30,1336.5,1291,2024-04,1315.95,6219274
ADANIPORTS,1310,4/19/2024 5:30,1316,1270,2024-04,1280,3899281
ADANIPORTS,1321.1,4/22/2024 5:30,1331,1315,2024-04,1321.1,8903130
ADANIPORTS,1322.1,4/23/2024 5:30,1338.55,1318.9,2024-04,1321.1,3847872
ADANIPORTS,1320.5,4/24/2024 5:30,1332.9,1318.05,2024-04,1331,2553035
ADANIPORTS,1330.55,4/25/2024 5:30,1336.95,1316.8,2024-04,1320.5,6097087
ADANIPORTS,1324.6,4/26/2024 5:30,1341.6,1321.1,2024-04,1340,2565490
ADANIPORTS,1317.25,4/29/2024 5:30,1335.75,1307,2024-04,1334.3,2191564
ADANIPORTS,1324.9,4/30/2024 5:30,1334.65,1316.25,2024-04,1323.55,2321071
ADANIPORTS,1338.8,5/2/2024 5:30,1348.7,1306.55,2024-05,1333.95,7991511
ADANIPORTS,1320.3,5/3/2024 5:30,1354,1310.45,2024-05,1353,3528822
ADANIPORTS,1289.95,5/6/2024 5:30,1322.5,1257,2024-05,1322.5,4000668
ADANIPORTS,1287.65,5/7/2024 5:30,1301.15,1265,2024-05,1291.1,3474340
ADANIPORTS,1277.25,5/8/2024 5:30,1293.7,1269.05,2024-05,1293.35,1627418
ADANIPORTS,1244.55,5/9/2024 5:30,1285.8,1240,2024-05,1279,2591646
ADANIPORTS,1266.75,5/10/2024 5:30,1278.7,1245.75,2024-05,1250,2022402
ADANIPORTS,1306.4,5/13/2024 5:30,1313,1261.65,2024-05,1267,2495810
ADANIPORTS,1331.25,5/14/2024 5:30,1339.9,1285.25,2024-05,1306.4,2989543
ADANIPORTS,1337.85,5/15/2024 5:30,1353.95,1333,2024-05,1337.85,2189768
ADANIPORTS,1345.05,5/16/2024 5:30,1366.75,1310.5,2024-05,1352.2,4822618
ADANIPORTS,1335.7,5/17/2024 5:30,1343.3,1321.15,2024-05,1330,1945123
ADANIPORTS,1340.2,5/18/2024 5:30,1345.2,1335.1,2024-05,1342,192526
ADANIPORTS,1385.5,5/21/2024 5:30,1398.8,1333,2024-05,1344,4200578
ADANIPORTS,1378.2,5/22/2024 5:30,1394.35,1364.2,2024-05,1394.35,1878562
ADANIPORTS,1443.35,5/23/2024 5:30,1448.8,1369.9,2024-05,1384,7821034
ADANIPORTS,1416.1,5/24/2024 5:30,1444.95,1382.15,2024-05,1435,19100263
ADANIPORTS,1431.65,5/27/2024 5:30,1457.05,1423.6,2024-05,1445,5517078
ADANIPORTS,1400.5,5/28/2024 5:30,1438,1398,2024-05,1438,4070886
ADANIPORTS,1410,5/29/2024 5:30,1427.85,1382.9,2024-05,1406,3214475
ADANIPORTS,1383.5,5/30/2024 5:30,1413.65,1373.65,2024-05,1410,3477661
ADANIPORTS,1437.4,5/31/2024 5:30,1451,1391,2024-05,1391,8238969
ADANIPORTS,1583.95,6/3/2024 5:30,1621.4,1535,2024-06,1549,23398347
ADANIPORTS,1248.95,6/4/2024 5:30,1558,1188,2024-06,1558,52109624
