Ticker,close,date,high,low,month,open,volume
TATASTEEL,116.6,11/1/2023 5:30,119.1,116.0,2023-11,119.0,24717941
TATASTEEL,118.1,11/2/2023 5:30,118.55,114.6,2023-11,114.6,72538804
TATASTEEL,117.3,11/3/2023 5:30,118.6,117.1,2023-11,118.2,31747230
TATASTEEL,119.4,11/6/2023 5:30,119.65,117.5,2023-11,118.5,27883152
TATASTEEL,119.65,11/7/2023 5:30,120.2,118.4,2023-11,119.3,25818033
TATASTEEL,119.05,11/8/2023 5:30,120.5,118.55,2023-11,119.75,22552386
TATASTEEL,119.65,11/9/2023 5:30,120.5,118.85,2023-11,119.2,22979112
TATASTEEL,120.05,11/10/2023 5:30,120.45,118.8,2023-11,119.5,23584510
TATASTEEL,120.85,11/12/2023 5:30,121.6,120.6,2023-11,121.6,3984034
TATASTEEL,121.0,11/13/2023 5:30,121.25,119.9,2023-11,120.85,17951775
TATASTEEL,124.05,11/15/2023 5:30,124.4,121.5,2023-11,121.7,38344393
TATASTEEL,124.7,11/16/2023 5:30,125.25,123.0,2023-11,124.0,30836413
TATASTEEL,125.2,11/17/2023 5:30,125.75,124.3,2023-11,124.7,23319439
TATASTEEL,124.35,11/20/2023 5:30,125.65,124.05,2023-11,125.05,18780290
TATASTEEL,126.25,11/21/2023 5:30,126.4,124.95,2023-11,125.05,29643312
TATASTEEL,126.1,11/22/2023 5:30,126.9,125.5,2023-11,126.4,19588063
TATASTEEL,126.7,11/23/2023 5:30,127.4,125.9,2023-11,126.35,30736851
TATASTEEL,125.95,11/24/2023 5:30,127.0,125.55,2023-11,126.7,14719450
TATASTEEL,126.85,11/28/2023 5:30,127.0,126.0,2023-11,127.0,18377843
TATASTEEL,127.75,11/29/2023 5:30,128.15,126.7,2023-11,127.15,23092165
TATASTEEL,127.9,11/30/2023 5:30,128.85,126.5,2023-11,127.8,40165104
TATASTEEL,130.0,12/1/2023 5:30,130.3,128.05,2023-12,128.9,31192397
TATASTEEL,131.0,12/4/2023 5:30,132.35,130.4,2023-12,132.2,41230928
TATASTEEL,131.6,12/5/2023 5:30,132.45,130.0,2023-12,131.0,35192149
