Ticker,close,date,high,low,month,open,volume
ONGC,252.25,1/31/2024 5:30,254.35,246.3,2024-01,250.45,33293192
ONGC,247.65,2/1/2024 5:30,254.65,245.45,2024-02,254.65,29758133
ONGC,257.25,2/2/2024 5:30,260.0,249.0,2024-02,250.0,30482663
ONGC,262.95,2/5/2024 5:30,268.05,255.1,2024-02,260.05,34001868
ONGC,272.3,2/6/2024 5:30,273.4,260.2,2024-02,265.35,36708949
ONGC,271.9,2/7/2024 5:30,275.65,267.55,2024-02,275.0,23756939
ONGC,273.15,2/8/2024 5:30,275.65,269.1,2024-02,273.05,25252940
ONGC,267.55,2/9/2024 5:30,275.65,259.15,2024-02,275.0,26743792
ONGC,257.9,2/12/2024 5:30,266.6,256.8,2024-02,261.95,30906374
ONGC,259.5,2/13/2024 5:30,262.4,254.7,2024-02,258.0,20711842
ONGC,268.85,2/14/2024 5:30,269.65,256.0,2024-02,258.0,36168962
ONGC,277.3,2/15/2024 5:30,279.85,269.0,2024-02,271.65,32831246
ONGC,274.7,2/16/2024 5:30,278.0,270.35,2024-02,275.15,27044984
ONGC,274.65,2/19/2024 5:30,279.05,272.4,2024-02,274.7,15322964
ONGC,276.6,2/20/2024 5:30,281.15,274.05,2024-02,274.8,18968785
ONGC,272.95,2/21/2024 5:30,281.1,271.6,2024-02,276.0,16340579
ONGC,274.7,2/22/2024 5:30,276.0,268.5,2024-02,273.85,16791453
ONGC,272.2,2/23/2024 5:30,276.0,271.1,2024-02,274.9,9464646
ONGC,269.85,2/26/2024 5:30,271.9,267.8,2024-02,271.9,8661999
ONGC,269.35,2/27/2024 5:30,270.2,264.95,2024-02,268.05,19582774
ONGC,265.75,2/28/2024 5:30,270.3,264.6,2024-02,270.0,9118196
ONGC,264.6,2/29/2024 5:30,266.35,261.5,2024-02,265.0,17179832
ONGC,270.55,3/1/2024 5:30,272.95,266.5,2024-03,266.5,12930057
ONGC,271.9,3/2/2024 5:30,272.9,271.35,2024-03,272.0,864693
ONGC,279.2,3/4/2024 5:30,280.55,272.5,2024-03,272.75,22280353
ONGC,283.75,3/5/2024 5:30,284.95,276.65,2024-03,280.0,18544484
ONGC,280.25,3/6/2024 5:30,284.3,273.55,2024-03,284.3,16807149
ONGC,278.1,3/7/2024 5:30,284.35,277.25,2024-03,280.25,11386963
ONGC,274.0,3/11/2024 5:30,280.5,273.2,2024-03,278.1,10684598
ONGC,270.4,3/12/2024 5:30,275.6,269.05,2024-03,274.0,13780189
ONGC,255.35,3/13/2024 5:30,271.0,252.75,2024-03,270.8,20079496
ONGC,263.25,3/14/2024 5:30,264.35,251.2,2024-03,252.5,21404057
ONGC,258.75,3/15/2024 5:30,266.4,248.9,2024-03,263.95,34961065
ONGC,261.6,3/18/2024 5:30,263.05,257.55,2024-03,258.95,9246173
ONGC,259.25,3/19/2024 5:30,263.95,256.65,2024-03,262.0,8758348
ONGC,263.85,3/20/2024 5:30,264.6,257.2,2024-03,259.45,10484778
ONGC,262.95,3/21/2024 5:30,266.95,262.35,2024-03,264.7,12163200
ONGC,263.25,3/22/2024 5:30,265.25,258.45,2024-03,262.95,13025089
ONGC,265.5,3/26/2024 5:30,267.9,259.3,2024-03,261.65,10830926
ONGC,261.75,3/27/2024 5:30,268.2,259.65,2024-03,265.0,28563001
ONGC,268.05,3/28/2024 5:30,271.0,261.95,2024-03,262.45,18888942
ONGC,269.9,4/1/2024 5:30,271.5,267.8,2024-04,268.05,6440401
ONGC,272.5,4/2/2024 5:30,274.05,269.45,2024-04,270.1,14439120
ONGC,275.35,4/3/2024 5:30,279.0,273.85,2024-04,275.05,22600929
ONGC,269.0,4/4/2024 5:30,278.65,265.35,2024-04,278.65,24624383
ONGC,267.95,4/5/2024 5:30,271.9,266.5,2024-04,267.85,13029904
ONGC,270.4,4/8/2024 5:30,272.0,266.6,2024-04,267.55,13011300
ONGC,268.95,4/9/2024 5:30,272.65,268.0,2024-04,270.0,13173933
ONGC,272.0,4/10/2024 5:30,273.2,269.15,2024-04,269.95,11137195
ONGC,265.7,4/12/2024 5:30,272.5,265.0,2024-04,271.9,21894584
ONGC,279.85,4/15/2024 5:30,282.95,267.1,2024-04,269.1,75063828
ONGC,283.15,4/16/2024 5:30,292.55,275.25,2024-04,277.0,79082544
ONGC,274.15,4/18/2024 5:30,287.7,273.35,2024-04,286.0,34136482
ONGC,275.25,4/19/2024 5:30,280.8,274.1,2024-04,276.75,32658724
ONGC,276.8,4/22/2024 5:30,278.0,273.75,2024-04,277.3,14184019
ONGC,276.8,4/23/2024 5:30,278.75,275.55,2024-04,276.85,8799147
ONGC,279.35,4/24/2024 5:30,280.4,276.3,2024-04,277.6,9253985
ONGC,281.95,4/25/2024 5:30,282.6,278.0,2024-04,279.35,17050557
ONGC,282.9,4/26/2024 5:30,286.15,282.2,2024-04,283.0,11070290
ONGC,283.2,4/29/2024 5:30,285.25,282.15,2024-04,283.95,8952420
ONGC,282.85,4/30/2024 5:30,286.35,281.45,2024-04,284.5,10658906
ONGC,282.8,5/2/2024 5:30,284.6,279.05,2024-05,281.0,15677336
ONGC,286.1,5/3/2024 5:30,292.95,284.0,2024-05,284.0,28913016
ONGC,282.15,5/6/2024 5:30,288.75,275.25,2024-05,288.7,15491865
ONGC,273.6,5/7/2024 5:30,285.0,272.0,2024-05,283.9,13179001
ONGC,276.85,5/8/2024 5:30,280.25,272.35,2024-05,273.5,12797721
ONGC,265.25,5/9/2024 5:30,278.55,263.2,2024-05,277.25,14869187
ONGC,270.25,5/10/2024 5:30,271.2,264.45,2024-05,267.0,9530738
ONGC,266.9,5/13/2024 5:30,271.9,262.05,2024-05,271.9,7163239
ONGC,272.9,5/14/2024 5:30,274.65,266.45,2024-05,267.95,9123849
ONGC,273.45,5/15/2024 5:30,276.0,272.5,2024-05,274.5,6368662
ONGC,277.65,5/16/2024 5:30,279.35,273.8,2024-05,276.0,23757779
ONGC,277.45,5/17/2024 5:30,283.4,276.6,2024-05,278.8,11529157
ONGC,279.0,5/18/2024 5:30,281.7,278.45,2024-05,280.3,2010993
ONGC,280.1,5/21/2024 5:30,284.0,278.35,2024-05,281.1,17559555
ONGC,278.0,5/22/2024 5:30,284.0,276.9,2024-05,284.0,17935064
ONGC,283.45,5/23/2024 5:30,284.55,279.1,2024-05,279.95,17719819
ONGC,283.25,5/24/2024 5:30,285.95,281.85,2024-05,284.0,11041667
ONGC,277.65,5/27/2024 5:30,284.2,275.7,2024-05,284.0,13719808
ONGC,274.3,5/28/2024 5:30,279.3,273.05,2024-05,279.3,6927361
ONGC,271.85,5/29/2024 5:30,273.8,270.25,2024-05,273.8,8327205
ONGC,266.7,5/30/2024 5:30,275.1,265.0,2024-05,273.0,15390964
