Ticker,close,date,high,low,month,open,volume
SBIN,566.4,11/1/2023 5:30,569.65,563.85,2023-11,566.25,13575575
SBIN,572.1,11/2/2023 5:30,575.45,567.6,2023-11,571.1,11148516
SBIN,578.15,11/3/2023 5:30,579.5,573.45,2023-11,576.0,11371371
SBIN,574.35,11/6/2023 5:30,582.5,573.25,2023-11,582.0,16499138
SBIN,579.75,11/7/2023 5:30,581.2,572.6,2023-11,574.8,17923281
SBIN,580.3,11/8/2023 5:30,582.6,579.0,2023-11,581.9,15434808
SBIN,578.35,11/9/2023 5:30,581.85,576.5,2023-11,581.0,12434363
SBIN,579.5,11/10/2023 5:30,581.0,575.4,2023-11,577.8,6773038
SBIN,581.3,11/12/2023 5:30,584.75,580.1,2023-11,584.75,1947722
SBIN,581.35,11/13/2023 5:30,582.5,575.2,2023-11,581.0,11282362
SBIN,584.7,11/15/2023 5:30,588.0,582.6,2023-11,587.25,11397676
SBIN,584.65,11/16/2023 5:30,588.0,582.9,2023-11,584.7,8622660
SBIN,563.05,11/17/2023 5:30,574.5,562.1,2023-11,574.5,37173221
SBIN,563.75,11/20/2023 5:30,566.8,560.6,2023-11,564.0,12714585
SBIN,561.5,11/21/2023 5:30,566.65,561.0,2023-11,566.0,14280013
SBIN,558.95,11/22/2023 5:30,564.5,555.15,2023-11,562.95,14909071
SBIN,559.95,11/23/2023 5:30,563.5,558.3,2023-11,561.75,6376210
SBIN,560.35,11/24/2023 5:30,562.45,559.25,2023-11,561.95,6529851
SBIN,564.45,11/28/2023 5:30,565.2,561.1,2023-11,563.6,8153314
SBIN,568.6,11/29/2023 5:30,569.0,565.1,2023-11,568.0,10299034
SBIN,564.75,11/30/2023 5:30,570.2,563.65,2023-11,569.75,19758998
SBIN,571.75,12/1/2023 5:30,574.2,566.55,2023-12,567.0,10614230
SBIN,594.7,12/4/2023 5:30,596.0,584.55,2023-12,588.0,26077882
SBIN,608.25,12/5/2023 5:30,611.3,595.05,2023-12,595.05,36430152
SBIN,608.45,12/6/2023 5:30,614.0,604.55,2023-12,614.0,21439069
SBIN,611.7,12/7/2023 5:30,612.55,605.0,2023-12,610.0,10725706
SBIN,614.15,12/8/2023 5:30,616.8,605.35,2023-12,610.0,17722136
SBIN,614.25,12/11/2023 5:30,619.9,613.1,2023-12,615.0,11706255
SBIN,612.4,12/12/2023 5:30,617.95,610.8,2023-12,617.0,14494836
SBIN,619.85,12/13/2023 5:30,620.5,611.65,2023-12,614.45,13977914
SBIN,623.65,12/14/2023 5:30,627.75,622.4,2023-12,626.0,15813797
SBIN,648.25,12/15/2023 5:30,650.0,619.85,2023-12,628.0,29813572
SBIN,648.5,12/18/2023 5:30,655.65,642.4,2023-12,646.65,16221796
SBIN,655.4,12/19/2023 5:30,659.6,640.25,2023-12,648.5,19964008
SBIN,636.45,12/20/2023 5:30,660.4,633.95,2023-12,658.7,22542056
SBIN,643.75,12/21/2023 5:30,648.95,627.5,2023-12,632.15,19915516
SBIN,636.75,12/22/2023 5:30,649.4,635.15,2023-12,644.75,14998068
SBIN,638.05,12/26/2023 5:30,641.3,635.65,2023-12,638.85,10153089
SBIN,648.55,12/27/2023 5:30,649.45,639.0,2023-12,640.75,14417646
SBIN,651.4,12/28/2023 5:30,653.3,646.5,2023-12,650.25,16982092
SBIN,642.05,12/29/2023 5:30,649.6,639.55,2023-12,645.5,13221898
SBIN,641.35,1/1/2024 5:30,646.9,638.0,2024-01,642.2,8295548
SBIN,639.45,1/2/2024 5:30,648.0,633.85,2024-01,641.35,15164482
SBIN,643.45,1/3/2024 5:30,648.0,635.8,2024-01,639.35,14571772
SBIN,642.75,1/4/2024 5:30,646.4,638.65,2024-01,642.5,13883388
SBIN,641.95,1/5/2024 5:30,651.75,637.75,2024-01,645.0,15984585
SBIN,627.0,1/8/2024 5:30,645.0,625.05,2024-01,640.0,14739531
